conditions,deviationAway,match,gabor,corrAns,trials
90,0.0,1.0,90.0,up,756
90,6.0,0.0,96.0,right,757
0,-2.0,0.0,-2.0,left,758
0,0.0,1.0,0.0,up,759
0,0.0,1.0,0.0,up,760
90,2.0,0.0,92.0,right,761
90,2.0,0.0,92.0,right,762
135,0.0,1.0,135.0,up,763
0,-6.0,0.0,-6.0,left,764
135,0.0,1.0,135.0,up,765
135,-8.0,0.0,127.0,left,766
0,4.0,0.0,4.0,right,767
90,-10.0,0.0,80.0,left,768
0,2.0,0.0,2.0,right,769
0,-4.0,0.0,-4.0,left,770
135,0.0,1.0,135.0,up,771
135,4.0,0.0,139.0,right,772
90,-10.0,0.0,80.0,left,773
45,2.0,0.0,47.0,right,774
45,10.0,0.0,55.0,right,775
135,0.0,1.0,135.0,up,776
0,-8.0,0.0,-8.0,left,777
45,-8.0,0.0,37.0,left,778
90,-4.0,0.0,86.0,left,779
0,0.0,1.0,0.0,up,780
0,0.0,1.0,0.0,up,781
45,-2.0,0.0,43.0,left,782
0,0.0,1.0,0.0,up,783
0,0.0,1.0,0.0,up,784
135,10.0,0.0,145.0,right,785
135,8.0,0.0,143.0,right,786
90,10.0,0.0,100.0,right,787
135,-8.0,0.0,127.0,left,788
0,-2.0,0.0,-2.0,left,789
0,0.0,1.0,0.0,up,790
135,2.0,0.0,137.0,right,791
135,-4.0,0.0,131.0,left,792
0,2.0,0.0,2.0,right,793
90,0.0,1.0,90.0,up,794
0,-4.0,0.0,-4.0,left,795
45,10.0,0.0,55.0,right,796
0,0.0,1.0,0.0,up,797
45,4.0,0.0,49.0,right,798
135,0.0,1.0,135.0,up,799
135,2.0,0.0,137.0,right,800
